contract-number,award-date,expiry-date,gsin,gsin-description_en,supplier-legal-name,supplier-address-city,supplier-address-prov-state,supplier-address-postal-code,supplier-address-country,organization-employee-count_en,total-contract-value,end-user-entity_en,contracting-entity-office-name_en,contracting-address-city,contracting-address-prov-state,contracting-address-postal-code,contracting-address-country
01044-191139-001-PI,2019-05-02T00:00:00Z,2020-03-31T00:00:00Z,D317E,Information Products,IPOLITICS LIMITED,Ottawa,Ontario,K1N5S7,Canada,20 to 49 employees,12611,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-191156-001-PI,2020-03-04T00:00:00Z,2021-03-31T00:00:00Z,D317E,Information Products,OWEN MEDIA PARTNERS INC.,Mississauga,Ontario,L5G1H9,Canada,10 to 19 employees,13740,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200002-001-QCN,2019-08-28T00:00:00Z,2019-12-31T00:00:00Z,N7030,ADP Software,Waters Limited,Mississauga,Ontario,L4Z1S6,Canada,20 to 49 employees,105907,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200026-001-EDM,2020-02-11T00:00:00Z,2021-03-31T00:00:00Z,JX7030,ADP Software Maintenance - Other than Microcomputer,Argus Control Systems Ltd.,Surrey,British Columbia,V3S7A4,Canada,50 to 99 employees,30560,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200053-001-EE,2019-05-24T00:00:00Z,2020-05-31T00:00:00Z,N7030,ADP Software,ESRI Canada Limited.,Ottawa,Ontario,K1Z1G3,Canada,200 to 499 employees,279726,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200054-001-XL,2019-06-18T00:00:00Z,2020-06-03T00:00:00Z,N7030,ADP Software,Broadstory,Paris,,75011,France,1 to 4 employees,46023,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200113-001-EE,2019-09-23T00:00:00Z,2020-09-30T00:00:00Z,N7030,ADP Software,ESRI Canada Limited.,Ottawa,Ontario,K1Z1G3,Canada,200 to 499 employees,49720,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200300-001-EE,2019-08-28T00:00:00Z,2020-08-31T00:00:00Z,N7030,ADP Software,GlassHouse Systems Inc.,Toronto,Ontario,M3C1V9,Canada,50 to 99 employees,219116,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200354-001-EE,2019-10-16T00:00:00Z,2020-10-15T00:00:00Z,N7030,ADP Software,GlassHouse Systems Inc.,Toronto,Ontario,M3C1V9,Canada,50 to 99 employees,32549,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200355-001-PQ,2020-01-07T00:00:00Z,2020-03-31T00:00:00Z,N7110,Office Furniture,BRC Business Enterprises Ltd,Georgetown,Ontario,L7G4R9,Canada,20 to 49 employees,159023,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200367-001-PQ,2019-09-30T00:00:00Z,2020-01-28T00:00:00Z,N7110,Office Furniture,Ottawa Business Interiors,Ottawa,Ontario,K2E7J4,Canada,20 to 49 employees,773812,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200460-001-EE,2020-01-28T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,"Aquatic Informatics, Inc",Vancouver,British Columbia,V6E4M3,Canada,50 to 99 employees,85256,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200465-001-EE,2019-12-24T00:00:00Z,2020-12-15T00:00:00Z,N7030,ADP Software,OPEN TEXT CORPORATION,Waterloo,Ontario,N2L0A1,Canada,1500 to 2499 employees,40537,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200466-001-QCN,2019-11-19T00:00:00Z,2020-12-31T00:00:00Z,N7030,ADP Software,Waters Limited,Mississauga,Ontario,L4Z1S6,Canada,20 to 49 employees,88608,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200486-001-EEM,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,HCL Canada Inc.,Mississauga,Ontario,ONTARIO,Canada,5000 employees and over,47644,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200650-001-EE,2020-02-27T00:00:00Z,2020-12-15T00:00:00Z,D317E,Information Products,MICRO FOCUS SOFTWARE SOLUTIONS CANADA CO.- SOLUTIONS LOGICIELS MICRO FOCUS CANADA CIE.,Ottawa,Ontario,K2K3C9,Canada,5000 employees and over,159639,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200683-001-PI,2019-12-31T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,"Ovid Technologies, Inc",Norwood,Massachusetts,02062,United States,500 to 999 employees,236825,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200733-001-PI,2020-02-13T00:00:00Z,2021-03-31T00:00:00Z,D317E,Information Products,Zen Innovations AG,Kehrsatz,,3122,Switzerland,10 to 19 employees,153500,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200743-001-PI,2020-02-06T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,Annual Reviews,Palo Alto,California,94303-0139,United States,50 to 99 employees,64990,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200794-001-EEM,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,FENESTRAE INC.,NORCROSS,Georgia,30092,United States,1 to 4 employees,38704,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200797-001-PI,2020-01-22T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,ELSEVIER B.V.,Amsterdam,,1043NX,Netherlands,1500 to 2499 employees,710320,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200801-001-PI,2020-02-12T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,"John Wiley & Sons, Inc.",Hoboken,New Jersey,07030,United States,5000 employees and over,1323022,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200803-001-XL,2020-02-03T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Axios Systems Inc,Herndon,Virginia,20171,United States,200 to 499 employees,157078,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200807-001-EE,2020-03-18T00:00:00Z,2021-03-01T00:00:00Z,N7030,ADP Software,Carahsoft Technology Corp.,Reston,Virginia,20190,United States,500 to 999 employees,22422,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200839-001-EEM,2020-03-24T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Sandhill Consultants Canada Ltd,oakville,Ontario,L6M3X5,Canada,5 to 9 employees,35293,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200851-001-PI,2020-02-10T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,The American Phytopathological Society,St. Paul,Minnesota,55121,United States,50 to 99 employees,34559,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200861-001-XL,2020-01-28T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Flex Tech Services Inc.,Ottawa,Ontario,K1Z1E3,Canada,5 to 9 employees,54240,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200957-001-EDM,2020-03-24T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Esri Canada Limited,Edmonton,Alberta,T5K2N2,Canada,200 to 499 employees,41202,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200983-001-CY,2020-03-10T00:00:00Z,2021-03-31T00:00:00Z,T004JD,Press Release Distribution,CNW GROUP LTD.,Ottawa,Ontario,K1P1H4,Canada,200 to 499 employees,22600,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-200990-001-CY,2020-03-12T00:00:00Z,2021-03-31T00:00:00Z,T099D,Newswire Services,Canadian Press Enterprises Inc.,Toronto,Ontario,M5C2L9,Canada,200 to 499 employees,19459,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01396-200121-001-QCL,2020-01-28T00:00:00Z,2023-04-30T00:00:00Z,N6640,Laboratory Equipment and Supplies,"Perkinelmer Health Sciences Canada, Inc.",Woodbridge,Ontario,L4L8H1,Canada,50 to 99 employees,199916,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,QUEBEC,Quebec,G1V2J3,Canada
01550-190966-001-VAN,2019-06-06T00:00:00Z,2020-03-31T00:00:00Z,N3720,Harvesting Equipment,FARMCO SALES LTD.,Kelowna,British Columbia,V1X7S8,Canada,10 to 19 employees,77822,Agriculture and Agri-Food Canada,PACIFIC AGRI FOOD RSRCH CENTER,SUMMERLAND,British Columbia,V0H1Z0,Canada
01550-200036-001-VAN,2020-02-04T00:00:00Z,2021-03-31T00:00:00Z,N6650,"Optical Instruments, Test Equipment, Components and Accessories",RADIAN GROUP LTD.,Sherwood Park,Alberta,T8H2R5,Canada,1 to 4 employees,53701,Agriculture and Agri-Food Canada,PACIFIC AGRI FOOD RSRCH CENTER,SUMMERLAND,British Columbia,V0H1Z0,Canada
01550-200359-001-VAN,2019-12-19T00:00:00Z,2020-02-28T00:00:00Z,N6640,Laboratory Equipment and Supplies,"Molecular Devices, LLC",San Jose,California,95134,United States,200 to 499 employees,39000,Agriculture and Agri-Food Canada,PACIFIC AGRI FOOD RSRCH CENTER,SUMMERLAND,British Columbia,V0H1Z0,Canada
01550-200432-001-VAN,2020-01-31T00:00:00Z,2021-03-31T00:00:00Z,N6650,"Optical Instruments, Test Equipment, Components and Accessories",FISHER SCIENTIFIC COMPANY-SOCIETE FISHER SCIENTIFIQUE,Toronto,Ontario,M5W0E9,Canada,200 to 499 employees,32361,Agriculture and Agri-Food Canada,PACIFIC AGRI FOOD RSRCH CENTER,SUMMERLAND,British Columbia,V0H1Z0,Canada
01550-200684-001-VAN,2020-02-04T00:00:00Z,2021-03-31T00:00:00Z,N6635,Physical Properties Testing Equipment,N-A,Windsor,Colorado,80550,United States,5 to 9 employees,31785,Agriculture and Agri-Food Canada,PACIFIC AGRI FOOD RSRCH CENTER,SUMMERLAND,British Columbia,V0H1Z0,Canada
01555-200311-001-VAN,2019-09-27T00:00:00Z,2020-11-30T00:00:00Z,N6640,Laboratory Equipment and Supplies,ATS Scientific Inc.,BURLINGTON,Ontario,L7M4B9,Canada,10 to 19 employees,111761,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,AGASSIZ,British Columbia,V0M1A0,Canada
01555-200313-001-VAN,2019-10-21T00:00:00Z,2020-10-31T00:00:00Z,N6630AF,"ANALYZERS, GAS (INCLUDES NOX, CO, CO2, SO2, O2) EXCLUDES HAZARD TYPE",Leco Instruments Limited,Mississauga,Ontario,L5L1X1,Canada,10 to 19 employees,82667,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,AGASSIZ,British Columbia,V0M1A0,Canada
01555-200437-001-VAN,2020-01-06T00:00:00Z,2021-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,ANTON PAAR CANADA INC,St. Laurent,Quebec,H4R2Z8,Canada,20 to 49 employees,0,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,AGASSIZ,British Columbia,V0M1A0,Canada
01555-200437-002-VAN,2020-01-10T00:00:00Z,2021-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,CEM Corporation,Matthews,North Carolina,28106,United States,200 to 499 employees,31561,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,AGASSIZ,British Columbia,V0M1A0,Canada
01580-180904-001-STN,2019-04-02T00:00:00Z,2020-03-31T00:00:00Z,N6830H,"GAS, NITROGEN",Messer Canada Inc.,Edmonton,Alberta,T6B3M6,Canada,500 to 999 employees,92000,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-191043-001-CAL,2019-05-28T00:00:00Z,2020-12-20T00:00:00Z,N2510C,"Vehicular Cab, Body and Frame Structural Components (Except Military Configuration)",Intercontinental Truck Body Ltd.,Coaldale,Alberta,T1M1N1,Canada,50 to 99 employees,37375,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-191110-001-CAL,2019-05-03T00:00:00Z,2019-06-21T00:00:00Z,JX7030,ADP Software Maintenance - Other than Microcomputer,Argus Control Systems Ltd.,Surrey,British Columbia,V3S7A4,Canada,50 to 99 employees,66990,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-200015-001-WPG,2019-09-03T00:00:00Z,2020-06-30T00:00:00Z,N6840,Pest Control Agents and Disinfectants,Biobest Canada Ltd,Leamington,Ontario,N8H3V7,Canada,50 to 99 employees,90000,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-200150-001-EDM,2019-12-06T00:00:00Z,2022-03-31T00:00:00Z,N6810CA,"CHEMICALS, AGRICULTURAL",Boyce Thompson Institute for Plant Research,Ithaca,New York,14853,United States,100 to 199 employees,31500,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-200263-001-CAL,2019-09-23T00:00:00Z,2020-10-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Hoffmann-La Roche,Laval,Quebec,H7V4A2,Canada,200 to 499 employees,61819,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-200476-001-CAL,2019-10-15T00:00:00Z,2021-03-28T00:00:00Z,N6630,Chemical Analysis Instruments,Spectris Canada Inc.,St-Laurent,Quebec,H4R2V6,Canada,50 to 99 employees,105697,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01580-200578-001-CAL,2020-02-04T00:00:00Z,2021-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Mandel Scientific Company Inc.,Guelph,Ontario,N1G4N4,Canada,50 to 99 employees,51412,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,SASKATOON,Saskatchewan,S7N0X2,Canada
01581-190465-001-EDM,2019-08-29T00:00:00Z,2020-03-28T00:00:00Z,N6630AJ,"ANALYZERS, FLOW CYTOMETERS",VWR International Ltd.,Mississauga,Ontario,L5N5Z7,Canada,100 to 199 employees,109963,Agriculture and Agri-Food Canada,R&D CENTRE,SWIFT CURRENT,Saskatchewan,S9H3X2,Canada
01581-190613-001-CAL,2019-07-02T00:00:00Z,2020-07-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Spectris Canada Inc.,St-Laurent,Quebec,H4R2V6,Canada,50 to 99 employees,71636,Agriculture and Agri-Food Canada,R&D CENTRE,SWIFT CURRENT,Saskatchewan,S9H3X2,Canada
01581-200444-001-STN,2019-12-20T00:00:00Z,2020-03-31T00:00:00Z,N6636AD,"ENVIRONMENTAL CONTROL CHAMBERS, PLANT GROWTH",Controlled Environments Limited,Winnipeg,Manitoba,R3H0R9,Canada,100 to 199 employees,78222,Agriculture and Agri-Food Canada,R&D CENTRE,SWIFT CURRENT,Saskatchewan,S9H3X2,Canada
01581-200445-001-CAL,2020-01-10T00:00:00Z,2021-01-09T00:00:00Z,N6640,Laboratory Equipment and Supplies,Agilent Technologies Canada Inc.,Mississauga,Ontario,L5N5M4,Canada,200 to 499 employees,68419,Agriculture and Agri-Food Canada,R&D CENTRE,SWIFT CURRENT,Saskatchewan,S9H3X2,Canada
01581-200477-001-EDM,2020-01-22T00:00:00Z,2022-03-31T00:00:00Z,N6636AD,"ENVIRONMENTAL CONTROL CHAMBERS, PLANT GROWTH",Controlled Environments Limited,Winnipeg,Manitoba,R3H0R9,Canada,100 to 199 employees,201909,Agriculture and Agri-Food Canada,R&D CENTRE,SWIFT CURRENT,Saskatchewan,S9H3X2,Canada
01582-202017-001-CAL,2020-01-29T00:00:00Z,2020-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,"ELEMENTAR AMERICAS, INC.",Ronkonkoma,New York,11779,United States,20 to 49 employees,94985,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,BEAVERLODGE,Alberta,T0H0C0,Canada
01586-180283-001-STN,2019-08-27T00:00:00Z,2019-08-31T00:00:00Z,N2510,"Vehicular Cab, Body and Frame Structural Components",Walinga Inc.,Guelph,Ontario,N1H6J2,Canada,200 to 499 employees,51578,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-180331-001-CAL,2019-04-08T00:00:00Z,2020-09-20T00:00:00Z,N3710,Soil Preparation Equipment,Western Tractor Company Inc.,Lethbridge,Alberta,T1J4P4,Canada,200 to 499 employees,99500,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-180350-001-CAL,2019-08-20T00:00:00Z,2035-08-31T00:00:00Z,N7030,ADP Software,STERIS Canada Inc.,Mississauga,Ontario,L4Z3E2,Canada,50 to 99 employees,77360,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190156-001-EDM,2019-11-04T00:00:00Z,2020-03-31T00:00:00Z,N6650KF,"MICROSCOPE ACCESSORIES, EXCEPT ELECTRON",Hitachi High-Technologies Canada Inc,Rexdale,Ontario,M9W6A4,Canada,20 to 49 employees,545108,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190215-001-WPG,2020-01-22T00:00:00Z,2021-03-31T00:00:00Z,N3710,Soil Preparation Equipment,Zurn USA Inc.,Saskatoon,Saskatchewan,S7K3J5,United States,100 to 199 employees,76225,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190216-001-EDM,2020-01-14T00:00:00Z,2022-03-01T00:00:00Z,N6636AD,"ENVIRONMENTAL CONTROL CHAMBERS, PLANT GROWTH",BIO CHAMBERS INCORPORATED,Winnipeg,Manitoba,R2W3A8,Canada,20 to 49 employees,124500,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190279-001-CAL,2020-02-06T00:00:00Z,2021-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Geneq inc.,Montreal,Quebec,H1J1S5,Canada,20 to 49 employees,40457,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190285-001-WPG,2020-02-05T00:00:00Z,2020-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Leica Microsystems (Canada) Inc.,Concord,Ontario,L4K4V8,Canada,20 to 49 employees,81658,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190286-001-EDM,2020-02-18T00:00:00Z,2020-03-31T00:00:00Z,N3210,Sawmill and Planing Mill Machinery,RADIAN GROUP LTD.,Sherwood Park,Alberta,T8H2R5,Canada,1 to 4 employees,51606,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01586-190289-001-WPG,2020-02-13T00:00:00Z,2021-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Felix Technology Inc.,Concord,Ontario,L4K3S4,Canada,5 to 9 employees,45119,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LETHBRIDGE,Alberta,T1J4B1,Canada
01587-192001-001-CAL,2019-07-19T00:00:00Z,2020-08-09T00:00:00Z,N3750E,"Mowers, Lawn",MMD Sales Ltd.,Edmonton,Alberta,T5S2L7,Canada,200 to 499 employees,43434,Agriculture and Agri-Food Canada,RESEARCH & DEVELOPMENT CENTRE,LACOMBE,Alberta,T4L1W1,Canada
